annotation_id,comparison_id,task_scenario,disagreement_source_1,disagreement_source_2,disagreement_source_3,annotation_status,skywork_score_a,skywork_score_b,skywork_score_gap_abs,skywork_diverging_score,fsfairx_score_a,fsfairx_score_b,fsfairx_score_gap_abs,fsfairx_diverging_score
SV1_0034,e5a91a68e6004af5a05883e9c8f073f6,factual_qa,verbosity_or_concision,factuality,,completed,-7.07421875,1.7197265625,8.7939453125,-8.7939453125,-5.78125,-0.92578125,4.85546875,-4.85546875
SV1_0035,90b3602039114964be508a1b126ff307,medical_or_health,factuality,verbosity_or_concision,,completed,-5.16796875,-0.6640625,4.50390625,-4.50390625,-2.25,-1.8984375,0.3515625,-0.3515625
SV1_0036,771eb1f7b6c54fd7889447f9a6786eb6,writing_or_creative,instruction_following,,,completed,-4.1640625,-4.828125,0.6640625,-0.6640625,-2.890625,-3.015625,0.125,-0.125
SV1_0037,1e924f9789a24029b8119e534267ccae,writing_or_creative,verbosity_or_concision,,,completed,-7.30078125,3.080078125,10.380859375,-10.380859375,-6.875,-2.3125,4.5625,-4.5625
SV1_0038,88bb8e4e149d4a568f6c4fdc48eed793,general_advice_or_chat,task_ambiguity,clear_quality_difference,,completed,-21.09375,-15.2109375,5.8828125,-5.8828125,-8.5,-0.353515625,8.146484375,-8.146484375
SV1_0039,c021978630514ff5bd47a50d32b4d122,technical_or_coding,expertise_or_complexity,verbosity_or_concision,,completed,1.8505859375,-1.2119140625,3.0625,-3.0625,-2.71875,-2.59375,0.125,-0.125
SV1_0040,59ff00edd37f42a1bfd32d0247385fef,writing_or_creative,instruction_following,verbosity_or_concision,,completed,-14.7265625,-8.71875,6.0078125,-6.0078125,-3.96875,-1.765625,2.203125,-2.203125
SV1_0041,072eb8e42c334118bdf06b64cf498e90,factual_qa,factuality,instruction_following,,completed,-15.4921875,-11.2265625,4.265625,-4.265625,-7.28125,-4.4375,2.84375,-2.84375
SV1_0042,e54f59addc64489bba3131ef8ee15fdd,safety_or_sensitive,refusal_strategy,factuality,,completed,1.908203125,-20.125,22.033203125,-22.033203125,-7.375,-8.9375,1.5625,-1.5625
SV1_0043,ba4f2950d9504bc3ae60ac7d7eee9aec,reasoning_or_math,factuality,expertise_or_complexity,,completed,-11.9375,16.96875,28.90625,-28.90625,-4.9375,2.484375,7.421875,-7.421875
SV1_0044,e0a73e85c3c948c4a35ff2be74b7c916,technical_or_coding,task_ambiguity,verbosity_or_concision,,completed,-6.171875,-10.109375,3.9375,-3.9375,-2.625,-5.3125,2.6875,-2.6875
SV1_0045,f3cb2a8c53814dae918340ad0f513f7f,writing_or_creative,instruction_following,,,completed,-17.640625,-18.1875,0.546875,-0.546875,-4.34375,-3.21875,1.125,-1.125
SV1_0046,9165ece836054f509863b499e4e87ab4,reasoning_or_math,clear_quality_difference,,,completed,-9.21875,3.775390625,12.994140625,-12.994140625,-4.40625,2.1875,6.59375,-6.59375
SV1_0047,d273ca7ae3fe4354aaa74763888b793f,writing_or_creative,instruction_following,,,completed,-11.5859375,-2.986328125,8.599609375,-8.599609375,-0.18359375,0.375,0.55859375,-0.55859375
SV1_0048,c2f2ec3543d8495083f90d27c9bb7d0a,technical_or_coding,factuality,expertise_or_complexity,,completed,5.6875,-5.75390625,11.44140625,-11.44140625,-1.328125,-2.71875,1.390625,-1.390625
SV1_0049,c7610e8384d944518f188e729696dc6c,general_advice_or_chat,instruction_following,value_or_subjective_preference,,completed,-2.056640625,-12.671875,10.615234375,-10.615234375,-4.65625,-7.125,2.46875,-2.46875
SV1_0050,9fdef97c8063496a8fcedf27ed86d352,safety_or_sensitive,refusal_strategy,verbosity_or_concision,,completed,9.0546875,3.765625,5.2890625,-5.2890625,-6.3125,-8.5,2.1875,-2.1875
SV1_0051,968f221a7059402eb21de1736518fc9d,factual_qa,expertise_or_complexity,verbosity_or_concision,,completed,-6.7265625,1.82421875,8.55078125,-8.55078125,-2.828125,1.828125,4.65625,-4.65625
SV1_0052,0ceaaf73aced4d55a73e2bc578822064,brainstorming_or_planning,refusal_strategy,,,completed,-17.15625,-6.60546875,10.55078125,-10.55078125,-8.3125,-4.9375,3.375,-3.375
SV1_0053,09e8a91009fa4da6b8641d6db7ad3b71,brainstorming_or_planning,verbosity_or_concision,format_or_style,,completed,-4.04296875,5.5859375,9.62890625,-9.62890625,-3.609375,1.8828125,5.4921875,-5.4921875
SV1_0054,350736ba1b384e95a6eb3f777c9757a5,factual_qa,verbosity_or_concision,,,completed,2.19140625,-0.0791015625,2.2705078125,-2.2705078125,-5.1875,-7.21875,2.03125,-2.03125
SV1_0055,4a23f1aafa4648f0b392fba8ca6bd667,factual_qa,verbosity_or_concision,,,completed,16.03125,20.75,4.71875,-4.71875,-0.6796875,2.96875,3.6484375,-3.6484375
SV1_0056,13e9c6201a4d4f9f87971e21c84c1e1e,factual_qa,factuality,verbosity_or_concision,,completed,-6.84375,15.7890625,22.6328125,-22.6328125,-2.1875,0.85546875,3.04296875,-3.04296875
SV1_0057,a8221fae0ca04c818f981207650e7547,general_advice_or_chat,expertise_or_complexity,verbosity_or_concision,,completed,-7.0078125,-6.25390625,0.75390625,-0.75390625,-6.0625,-7.625,1.5625,-1.5625
SV1_0058,c7df61c09b6d42adaab0715cfccad89c,technical_or_coding,factuality,expertise_or_complexity,,completed,-25.125,-11.484375,13.640625,-13.640625,-5.25,-3.1875,2.0625,-2.0625
SV1_0059,20d705c7e9e24867a68a4d9bc771f56c,general_advice_or_chat,verbosity_or_concision,,,completed,-6.69140625,-2.19140625,4.5,-4.5,-4.5,-1.7265625,2.7734375,-2.7734375
SV1_0060,e14c126fe6864eb3b3eed9134114dc75,factual_qa,factuality,verbosity_or_concision,,completed,-13.0546875,12.1875,25.2421875,-25.2421875,-3.09375,3.75,6.84375,-6.84375
SV1_0061,34cb51c82f3e4d89a460ba5c33cedfac,writing_or_creative,refusal_strategy,,,completed,-25.671875,4.01953125,29.69140625,-29.69140625,-9.3125,0.00701904296875,9.31951904296875,-9.31951904296875
SV1_0062,3d99d0c8ccee424e94cbfcefa6462c68,summarization_or_transformation,instruction_following,verbosity_or_concision,,completed,-12.640625,-17.921875,5.28125,-5.28125,-2.859375,-4.65625,1.796875,-1.796875
SV1_0063,e6fb6980c9494e3d895f025c143accca,safety_or_sensitive,refusal_strategy,verbosity_or_concision,,completed,-13.296875,3.205078125,16.501953125,-16.501953125,-10.5625,-4.15625,6.40625,-6.40625
SV1_0064,04c597d8dbd24517a49d671c0eb5e7f9,factual_qa,factuality,verbosity_or_concision,,completed,-2.373046875,13.8828125,16.255859375,-16.255859375,-4.03125,1.9765625,6.0078125,-6.0078125
SV1_0065,6b0f84cd78024785aeed703e72d9f497,writing_or_creative,task_ambiguity,value_or_subjective_preference,,completed,-17.515625,-23,5.484375,-5.484375,-2.8125,-2.3125,0.5,-0.5
SV1_0066,9cf116dcc4b04ad1b037e34da8bb81dc,factual_qa,factuality,task_ambiguity,,completed,-6.0859375,-2.568359375,3.517578125,-3.517578125,-5.53125,-4.53125,1,-1
SV1_0067,e7cfc4431ebf4954b700bc4854363a8a,medical_or_health,verbosity_or_concision,format_or_style,,completed,-2.51953125,5.421875,7.94140625,-7.94140625,-2.609375,5.96875,8.578125,-8.578125
SV1_0068,6050bb44f552412cad599e3d3de1ca2d,general_advice_or_chat,verbosity_or_concision,format_or_style,,completed,-11.4921875,-1.2255859375,10.2666015625,-10.2666015625,-6.21875,-3.109375,3.109375,-3.109375
SV1_0069,16117d07bc0748ed96cf837c54fa6d95,reasoning_or_math,clear_quality_difference,,,completed,11.453125,-3.40625,14.859375,-14.859375,-0.89453125,-2.078125,1.18359375,-1.18359375
SV1_0070,38a43ca3d3f84d328242fa3ff1714c82,technical_or_coding,expertise_or_complexity,verbosity_or_concision,,completed,-4.81640625,7.4765625,12.29296875,-12.29296875,-3.5,1.203125,4.703125,-4.703125
SV1_0071,2e13354427e94b0d9f3b6170d869a4b5,brainstorming_or_planning,verbosity_or_concision,format_or_style,,completed,1.8779296875,35.25,33.3720703125,-33.3720703125,-2.15625,4.3125,6.46875,-6.46875
SV1_0072,e24e06faeb984a7fbc54257e4d68bc00,writing_or_creative,factuality,,,completed,-13.875,-16.71875,2.84375,-2.84375,-9.5,-10.25,0.75,-0.75
SV1_0073,9a2e841c12eb46d39c4f893b28c4a021,factual_qa,verbosity_or_concision,,,completed,4.47265625,2.587890625,1.884765625,-1.884765625,-2.78125,-4.0625,1.28125,-1.28125
SV1_0074,499a906fca9e4415b18bb7f9c47deb41,general_advice_or_chat,verbosity_or_concision,expertise_or_complexity,,completed,-8.8828125,2.724609375,11.607421875,-11.607421875,-6.0625,-3.53125,2.53125,-2.53125
SV1_0075,1668661c8ebc4004be4057cf26c0b68b,reasoning_or_math,clear_quality_difference,,,completed,5.35546875,5.66015625,0.3046875,-0.3046875,-0.59375,-2.234375,1.640625,-1.640625
SV1_0076,d1a41f56a3294267955eb74c464693ad,general_advice_or_chat,verbosity_or_concision,format_or_style,,completed,-5.765625,-3.095703125,2.669921875,-2.669921875,-5.1875,-2.609375,2.578125,-2.578125
SV1_0077,67679e66380c427c83b0d3988e30658c,writing_or_creative,value_or_subjective_preference,verbosity_or_concision,,completed,-0.81640625,-10.0859375,9.26953125,-9.26953125,0.51171875,-3.0625,3.57421875,-3.57421875
SV1_0078,fde91c42002c4c22b4de5f7070f81dba,summarization_or_transformation,,,,completed,1.166015625,1.0546875,0.111328125,-0.111328125,0.890625,1,0.109375,-0.109375
SV1_0079,81555826caf2425f99f9f253ad77b7da,technical_or_coding,factuality,expertise_or_complexity,,completed,-2.9609375,2.6328125,5.59375,-5.59375,-0.76953125,0.056396484375,0.825927734375,-0.825927734375
SV1_0080,abd53b72b04c4db7aa5747b5fe666a27,general_advice_or_chat,task_ambiguity,verbosity_or_concision,,completed,-3.654296875,6.265625,9.919921875,-9.919921875,-6.84375,-1.859375,4.984375,-4.984375
SV1_0081,32c09010a5f04693a550132d4afbb7cf,general_advice_or_chat,refusal_strategy,verbosity_or_concision,,completed,-13.8984375,-8.265625,5.6328125,-5.6328125,-8.25,-9.25,1,-1
SV1_0082,337abda610e744b98f4c3405aa41b4bd,factual_qa,factuality,expertise_or_complexity,,completed,-0.12249755859375,-3.072265625,2.94976806640625,-2.94976806640625,-3.046875,-3.03125,0.015625,-0.015625
SV1_0083,226e009ea29c413a98d2cc9590ffc96c,reasoning_or_math,clear_quality_difference,,,completed,-13.34375,-15.2265625,1.8828125,-1.8828125,-5.40625,-7.96875,2.5625,-2.5625
SV1_0084,2eeaf8b3f3e5418aab0dbf1175770452,safety_or_sensitive,refusal_strategy,verbosity_or_concision,,completed,-7.42578125,-2.79296875,4.6328125,-4.6328125,-9.375,-6,3.375,-3.375
SV1_0085,f767bb9d9cfd4383a72f8d3166ce2576,general_advice_or_chat,value_or_subjective_preference,expertise_or_complexity,,completed,-15.421875,-10.8984375,4.5234375,-4.5234375,-8.875,-6.28125,2.59375,-2.59375
SV1_0086,112e38c0b8db49d9b18c108acbd54e3a,factual_qa,verbosity_or_concision,format_or_style,,completed,-0.228759765625,14.65625,14.885009765625,-14.885009765625,-3.078125,1.78125,4.859375,-4.859375
SV1_0087,9fe3cc4217a342e1b4f1cb4f577e18d6,general_advice_or_chat,task_ambiguity,clear_quality_difference,,completed,-13.5546875,-9.8828125,3.671875,-3.671875,-9.8125,-5.84375,3.96875,-3.96875
SV1_0088,f9f711ef29da416a810d4e43b8353f2e,brainstorming_or_planning,verbosity_or_concision,format_or_style,,completed,-18,-2.318359375,15.681640625,-15.681640625,-6,1.1328125,7.1328125,-7.1328125
SV1_0089,e22fcefb5a7f41b68743f0ccd19d5dcb,safety_or_sensitive,refusal_strategy,verbosity_or_concision,,completed,-0.81982421875,-2.16796875,1.34814453125,-1.34814453125,-10.6875,-8.6875,2,-2
SV1_0090,c5889b7afc734116b3184451604835f4,writing_or_creative,instruction_following,verbosity_or_concision,,completed,-7.703125,-3.0703125,4.6328125,-4.6328125,-6.75,-2.6875,4.0625,-4.0625
SV1_0091,35e3766346ac44c0a5a58c1da7a8776b,general_advice_or_chat,format_or_style,value_or_subjective_preference,,completed,-9.625,-13.3359375,3.7109375,-3.7109375,-7,-8.4375,1.4375,-1.4375
SV1_0092,780d1edcab094010a5563f49735d7492,factual_qa,factuality,instruction_following,,completed,-26.5625,-10.2421875,16.3203125,-16.3203125,-7.28125,-3.28125,4,-4
SV1_0093,4496f38ffec24107be01db917a4a3f38,writing_or_creative,instruction_following,,,completed,-23.921875,-11.1953125,12.7265625,-12.7265625,-4.90625,-1.8046875,3.1015625,-3.1015625
SV1_0094,9afbc5728faa416789ed0cf48bc2645c,safety_or_sensitive,refusal_strategy,verbosity_or_concision,,completed,-15.6484375,-3.017578125,12.630859375,-12.630859375,-8.5,-4.28125,4.21875,-4.21875
SV1_0095,3b195af6790148d09aff2cd9538c4362,reasoning_or_math,verbosity_or_concision,,,completed,0.191162109375,7.73828125,7.547119140625,-7.547119140625,-2.15625,-0.37890625,1.77734375,-1.77734375
SV1_0096,33f286ea0a8942248ede206fdfb5e694,brainstorming_or_planning,value_or_subjective_preference,verbosity_or_concision,,completed,4.78515625,6.97265625,2.1875,-2.1875,-0.99609375,1.359375,2.35546875,-2.35546875
SV1_0097,ee4dced9278c41048b7acd0239a9d46c,safety_or_sensitive,refusal_strategy,factuality,,completed,-16.046875,-13.546875,2.5,-2.5,-8.8125,-8.3125,0.5,-0.5
SV1_0098,9caa3398661940c88097223feac90c4d,reasoning_or_math,factuality,expertise_or_complexity,,completed,-14.3671875,-13.28125,1.0859375,-1.0859375,-7.75,-7.59375,0.15625,-0.15625
SV1_0099,5f17f5e3cd3349e7a597c66bad8fc6a4,general_advice_or_chat,task_ambiguity,value_or_subjective_preference,,completed,-12.1953125,-12.7890625,0.59375,-0.59375,-7.5,-7.90625,0.40625,-0.40625
SV1_0100,80dc7a8e80cc4583aa10fe2fa1fdaf1f,general_advice_or_chat,verbosity_or_concision,expertise_or_complexity,,completed,-8.109375,12.5859375,20.6953125,-20.6953125,-7.5625,-1.3828125,6.1796875,-6.1796875
SV1_0101,e1ce7ed3cead4a599ce15d1d52f8b523,writing_or_creative,verbosity_or_concision,format_or_style,,completed,-3.01953125,1.7236328125,4.7431640625,-4.7431640625,-0.333984375,-4.59375,4.259765625,-4.259765625
SV1_0102,fd9c46e104914fb7afe8c2f813370b4f,writing_or_creative,value_or_subjective_preference,format_or_style,,completed,9.9453125,0.410888671875,9.534423828125,-9.534423828125,3.046875,2.953125,0.09375,-0.09375
SV1_0103,dea8984366a9413abbeadc524ec62d01,safety_or_sensitive,refusal_strategy,expertise_or_complexity,,completed,-8.2734375,-9.703125,1.4296875,-1.4296875,-7.34375,-11.4375,4.09375,-4.09375
SV1_0104,35d3f19fb4b240e99560fdae2b324528,reasoning_or_math,factuality,,,completed,-11.125,17.859375,28.984375,-28.984375,-5.96875,1.3359375,7.3046875,-7.3046875
SV1_0105,74674c641a0d405bacfbbe82b209e5a4,technical_or_coding,factuality,instruction_following,,completed,8.0625,1.3916015625,6.6708984375,-6.6708984375,0.609375,-1.546875,2.15625,-2.15625
SV1_0106,b868bf054a9646249eb32d8dae498253,reasoning_or_math,factuality,,,completed,-7.93359375,0.88232421875,8.81591796875,-8.81591796875,-3.765625,-1.96875,1.796875,-1.796875
SV1_0107,912a3e56a0224db79d1cc88ce167339d,general_advice_or_chat,verbosity_or_concision,,,completed,-2.484375,-5.62109375,3.13671875,-3.13671875,-2.6875,-6.0625,3.375,-3.375
SV1_0108,ad34d7a013d54cb68d119290eb45c795,writing_or_creative,verbosity_or_concision,format_or_style,,completed,-1.587890625,-4.515625,2.927734375,-2.927734375,-1.7421875,-1.265625,0.4765625,-0.4765625
SV1_0109,a605051afd5c4bbabd29ebd6fd562c95,brainstorming_or_planning,factuality,verbosity_or_concision,,completed,-2.498046875,0.71435546875,3.21240234375,-3.21240234375,-3.671875,0.345703125,4.017578125,-4.017578125
SV1_0110,6c029d3ae0e44955a18cbdb52e4c970c,brainstorming_or_planning,verbosity_or_concision,format_or_style,,completed,-5.3359375,4.51171875,9.84765625,-9.84765625,-5.875,3.984375,9.859375,-9.859375
SV1_0111,9099fa3a34414fa991c030e0ee2b0520,writing_or_creative,instruction_following,,,completed,-6.19140625,-1.3701171875,4.8212890625,-4.8212890625,-1.0703125,-0.8671875,0.203125,-0.203125
SV1_0112,3d9b939efcbd4097aaf04b36e07f4846,summarization_or_transformation,clear_quality_difference,,,completed,-12.265625,-10.890625,1.375,-1.375,-8.75,-8.8125,0.0625,-0.0625
SV1_0113,76df54f37e104f0aa8b545f995df300e,brainstorming_or_planning,verbosity_or_concision,format_or_style,,completed,6.02734375,4.30078125,1.7265625,-1.7265625,-2.671875,2.53125,5.203125,-5.203125
SV1_0114,978e48431313440db521b06303d4b652,medical_or_health,task_ambiguity,instruction_following,,completed,-15.1796875,-12.9765625,2.203125,-2.203125,-6.71875,-5.9375,0.78125,-0.78125
SV1_0115,5230dfbd555342fea889803e5913f9d3,brainstorming_or_planning,task_ambiguity,value_or_subjective_preference,,completed,-9.75,-12.265625,2.515625,-2.515625,-2.984375,-0.875,2.109375,-2.109375
SV1_0116,e46941ca0f8b405ea361898220f15b0d,safety_or_sensitive,refusal_strategy,verbosity_or_concision,,completed,0.415771484375,8.8203125,8.404541015625,-8.404541015625,-5.71875,-3.578125,2.140625,-2.140625
SV1_0117,07e7171597f2475cbe6b22eaa6ae8516,factual_qa,verbosity_or_concision,expertise_or_complexity,,completed,-2.59375,6.5703125,9.1640625,-9.1640625,-7.125,-3.390625,3.734375,-3.734375
SV1_0118,8f7a64a53e794193854f6ac0ce92164c,writing_or_creative,factuality,value_or_subjective_preference,,completed,0.1461181640625,-5.91015625,6.0562744140625,-6.0562744140625,-1.5703125,-2.859375,1.2890625,-1.2890625
SV1_0119,3cc2b637e9e24e03bdd8a5c4b4bc6e76,brainstorming_or_planning,verbosity_or_concision,format_or_style,,completed,0.151123046875,40.125,39.973876953125,-39.973876953125,-2.265625,4.3125,6.578125,-6.578125
SV1_0120,e312e7dda6b84e239ef95050d4838cd3,writing_or_creative,instruction_following,factuality,,completed,-7.83984375,-1.5556640625,6.2841796875,-6.2841796875,-2.265625,-1.4140625,0.8515625,-0.8515625
SV1_0121,b80c5d84a68b46ca833e676bed6c8778,technical_or_coding,clear_quality_difference,,,completed,-4.5390625,-15.984375,11.4453125,-11.4453125,-6.53125,-7.40625,0.875,-0.875
SV1_0122,545ae5b433f542d997f7f7ee08e5716b,writing_or_creative,value_or_subjective_preference,format_or_style,,completed,-0.57177734375,2.634765625,3.20654296875,-3.20654296875,0.6328125,1.6171875,0.984375,-0.984375
SV1_0123,20f9bfc99eb04058904d0a5069258881,factual_qa,factuality,,,completed,-21.15625,-27.5,6.34375,-6.34375,-7.53125,-8.125,0.59375,-0.59375
SV1_0124,5f9276310bc84cd68c8e96a08111f5c9,brainstorming_or_planning,verbosity_or_concision,,,completed,3.119140625,-1.9931640625,5.1123046875,-5.1123046875,-2.359375,-4.75,2.390625,-2.390625
SV1_0125,f2b798c1ab17452da60e607df3970516,summarization_or_transformation,task_ambiguity,factuality,,completed,-10.84375,3.947265625,14.791015625,-14.791015625,-6.0625,1.5078125,7.5703125,-7.5703125
SV1_0126,b80bd35c53da4fe0ba4309869f51e3d7,technical_or_coding,verbosity_or_concision,expertise_or_complexity,,completed,-0.9326171875,3.412109375,4.3447265625,-4.3447265625,-1.3359375,0.359375,1.6953125,-1.6953125
SV1_0127,b971514ce7474fff920cd26a8890e552,brainstorming_or_planning,refusal_strategy,verbosity_or_concision,,completed,-17.15625,0.30615234375,17.46240234375,-17.46240234375,-8.3125,-2.9375,5.375,-5.375
SV1_0128,70732522fe7345898d277c275493b0fe,brainstorming_or_planning,verbosity_or_concision,format_or_style,,completed,3.62890625,8.375,4.74609375,-4.74609375,-3.09375,4.65625,7.75,-7.75
SV1_0129,d6e23a7d3f444f5cbad0788e990482c6,technical_or_coding,verbosity_or_concision,expertise_or_complexity,,completed,10.7421875,15.5703125,4.828125,-4.828125,1.828125,2.953125,1.125,-1.125
SV1_0130,39757c39c7dc497387952896a8fa573e,safety_or_sensitive,refusal_strategy,verbosity_or_concision,,completed,2.31640625,-1.9423828125,4.2587890625,-4.2587890625,-7.59375,-5.0625,2.53125,-2.53125
SV1_0131,47b6a019f4284c1d9d3da278eb0be916,brainstorming_or_planning,task_ambiguity,value_or_subjective_preference,,completed,-8.90625,-8.8515625,0.0546875,-0.0546875,-0.63671875,-1.9765625,1.33984375,-1.33984375
