annotation_id,comparison_id,fsfairx_score_a,fsfairx_score_b,score_gap_abs,diverging_score
SV1_0076,d1a41f56a3294267955eb74c464693ad,-5.1875,-2.609375,2.578125,-2.578125
SV1_0077,67679e66380c427c83b0d3988e30658c,0.51171875,-3.0625,3.57421875,-3.57421875
SV1_0078,fde91c42002c4c22b4de5f7070f81dba,0.890625,1.0,0.109375,-0.109375
SV1_0079,81555826caf2425f99f9f253ad77b7da,-0.76953125,0.056396484375,0.825927734375,-0.825927734375
SV1_0080,abd53b72b04c4db7aa5747b5fe666a27,-6.84375,-1.859375,4.984375,-4.984375
SV1_0081,32c09010a5f04693a550132d4afbb7cf,-8.25,-9.25,1.0,-1.0
SV1_0082,337abda610e744b98f4c3405aa41b4bd,-3.046875,-3.03125,0.015625,-0.015625
SV1_0083,226e009ea29c413a98d2cc9590ffc96c,-5.40625,-7.96875,2.5625,-2.5625
SV1_0084,2eeaf8b3f3e5418aab0dbf1175770452,-9.375,-6.0,3.375,-3.375
SV1_0085,f767bb9d9cfd4383a72f8d3166ce2576,-8.875,-6.28125,2.59375,-2.59375
SV1_0086,112e38c0b8db49d9b18c108acbd54e3a,-3.078125,1.78125,4.859375,-4.859375
SV1_0087,9fe3cc4217a342e1b4f1cb4f577e18d6,-9.8125,-5.84375,3.96875,-3.96875
SV1_0088,f9f711ef29da416a810d4e43b8353f2e,-6.0,1.1328125,7.1328125,-7.1328125
SV1_0089,e22fcefb5a7f41b68743f0ccd19d5dcb,-10.6875,-8.6875,2.0,-2.0
SV1_0090,c5889b7afc734116b3184451604835f4,-6.75,-2.6875,4.0625,-4.0625
SV1_0091,35e3766346ac44c0a5a58c1da7a8776b,-7.0,-8.4375,1.4375,-1.4375
SV1_0092,780d1edcab094010a5563f49735d7492,-7.28125,-3.28125,4.0,-4.0
SV1_0093,4496f38ffec24107be01db917a4a3f38,-4.90625,-1.8046875,3.1015625,-3.1015625
SV1_0094,9afbc5728faa416789ed0cf48bc2645c,-8.5,-4.28125,4.21875,-4.21875
SV1_0095,3b195af6790148d09aff2cd9538c4362,-2.15625,-0.37890625,1.77734375,-1.77734375
SV1_0096,33f286ea0a8942248ede206fdfb5e694,-0.99609375,1.359375,2.35546875,-2.35546875
SV1_0097,ee4dced9278c41048b7acd0239a9d46c,-8.8125,-8.3125,0.5,-0.5
SV1_0098,9caa3398661940c88097223feac90c4d,-7.75,-7.59375,0.15625,-0.15625
SV1_0099,5f17f5e3cd3349e7a597c66bad8fc6a4,-7.5,-7.90625,0.40625,-0.40625
SV1_0100,80dc7a8e80cc4583aa10fe2fa1fdaf1f,-7.5625,-1.3828125,6.1796875,-6.1796875
SV1_0101,e1ce7ed3cead4a599ce15d1d52f8b523,-0.333984375,-4.59375,4.259765625,-4.259765625
SV1_0102,fd9c46e104914fb7afe8c2f813370b4f,3.046875,2.953125,0.09375,-0.09375
SV1_0103,dea8984366a9413abbeadc524ec62d01,-7.34375,-11.4375,4.09375,-4.09375
SV1_0104,35d3f19fb4b240e99560fdae2b324528,-5.96875,1.3359375,7.3046875,-7.3046875
SV1_0105,74674c641a0d405bacfbbe82b209e5a4,0.609375,-1.546875,2.15625,-2.15625
SV1_0106,b868bf054a9646249eb32d8dae498253,-3.765625,-1.96875,1.796875,-1.796875
SV1_0107,912a3e56a0224db79d1cc88ce167339d,-2.6875,-6.0625,3.375,-3.375
SV1_0108,ad34d7a013d54cb68d119290eb45c795,-1.7421875,-1.265625,0.4765625,-0.4765625
SV1_0109,a605051afd5c4bbabd29ebd6fd562c95,-3.671875,0.345703125,4.017578125,-4.017578125
SV1_0110,6c029d3ae0e44955a18cbdb52e4c970c,-5.875,3.984375,9.859375,-9.859375
SV1_0111,9099fa3a34414fa991c030e0ee2b0520,-1.0703125,-0.8671875,0.203125,-0.203125
SV1_0112,3d9b939efcbd4097aaf04b36e07f4846,-8.75,-8.8125,0.0625,-0.0625
SV1_0113,76df54f37e104f0aa8b545f995df300e,-2.671875,2.53125,5.203125,-5.203125
SV1_0114,978e48431313440db521b06303d4b652,-6.71875,-5.9375,0.78125,-0.78125
SV1_0115,5230dfbd555342fea889803e5913f9d3,-2.984375,-0.875,2.109375,-2.109375
SV1_0116,e46941ca0f8b405ea361898220f15b0d,-5.71875,-3.578125,2.140625,-2.140625
SV1_0117,07e7171597f2475cbe6b22eaa6ae8516,-7.125,-3.390625,3.734375,-3.734375
SV1_0118,8f7a64a53e794193854f6ac0ce92164c,-1.5703125,-2.859375,1.2890625,-1.2890625
SV1_0119,3cc2b637e9e24e03bdd8a5c4b4bc6e76,-2.265625,4.3125,6.578125,-6.578125
SV1_0120,e312e7dda6b84e239ef95050d4838cd3,-2.265625,-1.4140625,0.8515625,-0.8515625
SV1_0121,b80c5d84a68b46ca833e676bed6c8778,-6.53125,-7.40625,0.875,-0.875
SV1_0122,545ae5b433f542d997f7f7ee08e5716b,0.6328125,1.6171875,0.984375,-0.984375
SV1_0123,20f9bfc99eb04058904d0a5069258881,-7.53125,-8.125,0.59375,-0.59375
SV1_0124,5f9276310bc84cd68c8e96a08111f5c9,-2.359375,-4.75,2.390625,-2.390625
SV1_0125,f2b798c1ab17452da60e607df3970516,-6.0625,1.5078125,7.5703125,-7.5703125
SV1_0126,b80bd35c53da4fe0ba4309869f51e3d7,-1.3359375,0.359375,1.6953125,-1.6953125
SV1_0127,b971514ce7474fff920cd26a8890e552,-8.3125,-2.9375,5.375,-5.375
SV1_0128,70732522fe7345898d277c275493b0fe,-3.09375,4.65625,7.75,-7.75
SV1_0129,d6e23a7d3f444f5cbad0788e990482c6,1.828125,2.953125,1.125,-1.125
SV1_0130,39757c39c7dc497387952896a8fa573e,-7.59375,-5.0625,2.53125,-2.53125
SV1_0131,47b6a019f4284c1d9d3da278eb0be916,-0.63671875,-1.9765625,1.33984375,-1.33984375
SV1_0132,d6fbd9cc5d8644358ac9e028f3b56a00,-6.5,-9.0,2.5,-2.5
SV1_0133,14d099d02dfa475f8777d59f49824843,-3.546875,-3.984375,0.4375,-0.4375
SV1_0134,59682759813e4e05b045fc9e6cc97611,-0.29296875,-0.796875,0.50390625,-0.50390625
SV1_0135,a868695e9302498083cd5f033908ea77,-3.1875,-1.2109375,1.9765625,-1.9765625
SV1_0136,3fcb44d444d04c5386fb85ecbcee6126,-5.34375,0.16015625,5.50390625,-5.50390625
SV1_0137,15fe2162da5441ad808841bbc8544bc9,2.03125,0.294921875,1.736328125,-1.736328125
SV1_0138,2481b814354245518f3605d7ae8617f2,-6.09375,-1.65625,4.4375,-4.4375
SV1_0139,b8e557705e464f1ca16920d1b78cbafc,-0.232421875,1.546875,1.779296875,-1.779296875
SV1_0140,a75072315a0f4b4796adb52877015833,-1.4140625,3.671875,5.0859375,-5.0859375
SV1_0141,2eb303f27de24638a93db87fb5ad88f6,-8.4375,-5.40625,3.03125,-3.03125
SV1_0142,4c1da41ad0264b25857ec7146b9839a2,-8.3125,-7.03125,1.28125,-1.28125
SV1_0143,b41aa1ba209a484eb8b1a2493583b998,3.28125,3.34375,0.0625,-0.0625
SV1_0144,bb5d5991eb9048c78630e21a7d6a1187,-3.390625,-2.9375,0.453125,-0.453125
SV1_0145,5b205aea02234af1a1a547091fc0c034,-4.3125,1.5625,5.875,-5.875
SV1_0146,a62931cda59e4566b9b2c9699e6c3f01,-3.265625,-4.375,1.109375,-1.109375
SV1_0147,93d72313cae7423a8ab5b09bfe22cb51,-4.78125,-3.859375,0.921875,-0.921875
SV1_0148,6d8537bc2c99459ab628b49e87de1f9f,-0.458984375,-0.2177734375,0.2412109375,-0.2412109375
SV1_0149,7b928287cb4f4ad5bd2c23ad9b84a428,-4.28125,1.734375,6.015625,-6.015625
SV1_0150,edea2bb509d34c3aa2248c78f364f045,-5.59375,-2.375,3.21875,-3.21875
SV1_0151,feda630b0e3e45e0b3481de5f8d737f5,-2.078125,0.1416015625,2.2197265625,-2.2197265625
SV1_0152,82bd326fe08741d9bb546fa363c6eb1f,-5.875,-3.75,2.125,-2.125
SV1_0153,ba683e1e98484928a9149284277f73b1,-7.96875,-7.40625,0.5625,-0.5625
SV1_0154,0ec4723c8d304e72a0277585dc22566e,0.486328125,1.0390625,0.552734375,-0.552734375
SV1_0155,5b57169fe45e48f485a419c82a967fef,-1.265625,0.5625,1.828125,-1.828125
SV1_0156,2e0bd9c89c4c456db41ad20983e9763b,-5.65625,1.140625,6.796875,-6.796875
SV1_0157,80390816ec3744959260007521d6a3e1,-9.25,-2.765625,6.484375,-6.484375
SV1_0158,a3f2f9b3219e4438a06065ad2cb50195,-0.578125,1.4609375,2.0390625,-2.0390625
SV1_0159,fc760492020c40e78f1fc752e6f77608,-1.8125,0.06787109375,1.88037109375,-1.88037109375
SV1_0160,bc8dbed119274beeb491ce908779d175,-3.359375,1.6328125,4.9921875,-4.9921875
SV1_0161,7e91072cf6c44bd393d05253d45defdc,-0.84765625,3.578125,4.42578125,-4.42578125
SV1_0162,8868b64498224d58bf49a81cd42aa238,-3.265625,-0.8515625,2.4140625,-2.4140625
SV1_0163,e21eb19b236843c1bd0a5f40113ebdde,-6.75,-5.1875,1.5625,-1.5625
SV1_0164,30ce4545c71f4f4d93744dbb4d62b8df,-2.25,-5.8125,3.5625,-3.5625
SV1_0165,2b86c446f0a4490792b63cd1f987db66,-8.75,-3.28125,5.46875,-5.46875
SV1_0166,d1c76cf135d34e5b881fea11d36b06cd,-4.125,-5.0,0.875,-0.875
SV1_0167,170140192fa6407ab0c7ae1b9e07cdae,1.3984375,-1.125,2.5234375,-2.5234375
SV1_0168,f4682c0a3d1947c790f1ad44f94e9fab,-2.4375,-3.921875,1.484375,-1.484375
SV1_0169,dac7bffad55a4290830ca1a07946293c,-4.4375,-8.9375,4.5,-4.5
SV1_0170,da18fb82c0704ce69a7fa241743e2acc,-6.78125,-4.3125,2.46875,-2.46875
SV1_0171,c4bd52fca133439fbdf8e42e993cf530,0.734375,4.15625,3.421875,-3.421875
SV1_0172,e8dcd9d65a524b68b90dfa3b28a5eb31,-3.765625,0.37109375,4.13671875,-4.13671875
SV1_0173,22c72d7821c240a489504364e3eb6356,-3.015625,-1.6796875,1.3359375,-1.3359375
SV1_0174,4eed3d0cd2464891bb29c10ad28afece,-2.515625,-2.25,0.265625,-0.265625
SV1_0175,af665b97e9c54f60ab39ec3772dddf02,1.28125,4.03125,2.75,-2.75
SV1_0176,acd8e09080f140d896c640f3cca40335,-3.078125,0.69140625,3.76953125,-3.76953125
SV1_0177,93123514b3e74f4ea5c8faece5d0246c,-2.109375,2.734375,4.84375,-4.84375
SV1_0178,1431decf5c394844b8dc99bbc44d383c,-4.21875,-1.671875,2.546875,-2.546875
SV1_0179,16f6d4ef13f5416cb4fbe33096a63007,-5.03125,1.65625,6.6875,-6.6875
SV1_0180,25c8f48ba395444290f253e0252fea52,-0.0177001953125,-0.25,0.2322998046875,-0.2322998046875
SV1_0181,1c9dff1b21a2440abc002106a767e88e,-2.140625,-0.73828125,1.40234375,-1.40234375
SV1_0182,c9cb2d9d31974d12b34497d8567d1fc1,-4.625,-3.0,1.625,-1.625
SV1_0183,b339c522f8ea4690b3dd78607e47accc,-4.625,-1.2734375,3.3515625,-3.3515625
SV1_0184,0b26234e870b453e862383e4c9e5a999,-2.109375,1.234375,3.34375,-3.34375
SV1_0185,7f9eba73ff9e40dc919294ab9ebdf63c,-3.0625,2.625,5.6875,-5.6875
SV1_0186,56616c559a4e40bf9e66855f9ebb3687,-4.75,-4.65625,0.09375,-0.09375
SV1_0187,83b8d70240f245b89dddfb066cb88a94,-5.125,-6.90625,1.78125,-1.78125
SV1_0188,3bec3ace04884c1ab166ed170be9efe1,-6.65625,2.078125,8.734375,-8.734375
SV1_0189,8372b28134f249d2a353b5f70e561474,-16.5,-10.5625,5.9375,-5.9375
SV1_0190,e9c8b90d205b4e0d9595c4c19e7654a1,-3.40625,3.328125,6.734375,-6.734375
SV1_0191,91d63a3e3b994910b833bec7e934279c,-3.703125,4.0625,7.765625,-7.765625
SV1_0192,1bbcb748bb554fa3ae26651915f87768,-4.3125,-3.4375,0.875,-0.875
SV1_0193,84f8f12470214bb4b8f70984dbcdbc8e,-4.71875,-3.625,1.09375,-1.09375
SV1_0194,17ca32180d9242fdbac933676c1cd1ee,-0.2177734375,5.53125,5.7490234375,-5.7490234375
SV1_0195,4a1908c374654182bef662821568d0a3,-2.921875,-2.515625,0.40625,-0.40625
SV1_0196,99e7526e45da4863ac17b6560a04a57e,-2.015625,0.74609375,2.76171875,-2.76171875
SV1_0197,7c1934f5dfbc4c87898922c4050738ef,-2.75,2.75,5.5,-5.5
SV1_0198,70bcf2b982664280bb03896c515edd16,-0.62890625,4.78125,5.41015625,-5.41015625
SV1_0199,c82e27a310284c78834b033d84e1f69e,-3.9375,0.8125,4.75,-4.75
SV1_0200,89279c2ef21c4400afa7c892097adb38,-3.09375,-3.078125,0.015625,-0.015625
SV1_0201,6e5948cea7b94e77b80f328488f4c7d2,-2.296875,-1.4375,0.859375,-0.859375
SV1_0202,a4cabb49401d48739645f96111d017c2,-1.796875,-6.46875,4.671875,-4.671875
SV1_0203,e58045ae470b44c6b9ab48f675ae546d,-5.28125,-7.96875,2.6875,-2.6875
SV1_0204,4b3841dfb2944b84a5b798895f7f516b,-4.90625,2.4375,7.34375,-7.34375
SV1_0205,560ec18d03ec4029bb6fc0d4b78aa330,-9.625,-4.9375,4.6875,-4.6875
SV1_0206,722a65d7abda468089779b54914b304b,-1.5546875,3.734375,5.2890625,-5.2890625
SV1_0207,ecee61b37c574094b5aa7905c22fe8d5,-7.125,-6.15625,0.96875,-0.96875
SV1_0208,6852f1f8c61d4145925f39420e534591,-4.4375,-3.21875,1.21875,-1.21875
SV1_0209,758933b91f89404bbdf046232bba1b83,-4.65625,5.15625,9.8125,-9.8125
SV1_0210,0afdd692104c4f8bbde60620eaaa2da8,-4.78125,-6.59375,1.8125,-1.8125
SV1_0211,8d17149e799a455388a800e3758c1fbe,-7.09375,-3.28125,3.8125,-3.8125
SV1_0212,0e3b3efb6a80429fa39a3d9758d17187,4.8125,2.90625,1.90625,-1.90625
SV1_0213,a4b7ba13540f41c7811a9f226c9b05dc,-6.5,-6.25,0.25,-0.25
SV1_0214,85b785157e9e41e68f576e1638f42dad,-3.03125,-0.80078125,2.23046875,-2.23046875
SV1_0215,c055d72801ca45a4a44f9cdb87a4b949,-2.875,0.546875,3.421875,-3.421875
SV1_0216,c321bb829ab246ad9f1c0b97c9b977f3,-0.2275390625,0.322265625,0.5498046875,-0.5498046875
SV1_0217,f74317f8bf6b4020b2a34e0f5e8991c5,-6.3125,-0.25390625,6.05859375,-6.05859375
SV1_0218,1f5e2f423e7e427ab42aead755f6fe33,-7.0625,-4.90625,2.15625,-2.15625
SV1_0219,4d3596639e694dba80c51fc2cbf0556c,-6.4375,-3.40625,3.03125,-3.03125
SV1_0220,58ddccc9bb66440681f63daf01920812,-7.375,-4.875,2.5,-2.5
SV1_0221,da94456d2069457d942e0f3ecab29710,-2.84375,-4.46875,1.625,-1.625
SV1_0222,f53bc9cbc82b442ba393efc770994641,-7.125,0.92578125,8.05078125,-8.05078125
SV1_0223,91d5bfdd00eb45a9ab7c5618b12a8b02,-1.9296875,-2.5625,0.6328125,-0.6328125
SV1_0224,13b912b193b24c9992f97b305ff2ccc1,-4.25,-0.28515625,3.96484375,-3.96484375
SV1_0225,af92a2aef78b46a39644b00b46c462a7,-6.09375,-7.625,1.53125,-1.53125
SV1_0226,4010d6a10e1e43e5b5d80a71c10b7f66,-5.65625,-2.4375,3.21875,-3.21875
SV1_0227,aed8a3a249c647859c6a1dbec4f5a6ff,-1.4453125,1.40625,2.8515625,-2.8515625
SV1_0228,8ba880f9bd7848d7babb37c9bef1883e,-2.859375,-2.296875,0.5625,-0.5625
SV1_0229,f943ac89a45649e58ff0c0e0d7f47d84,-6.53125,-9.0625,2.53125,-2.53125
SV1_0230,f3d18917fa27412a9cd1400cc6701dde,-3.265625,-1.9140625,1.3515625,-1.3515625
SV1_0231,04d89ec925e145bd832ba6be3a84c96e,-9.125,-5.09375,4.03125,-4.03125
SV1_0232,f99d40429f424da0a388474b08709011,-7.0625,0.9765625,8.0390625,-8.0390625
SV1_0233,d31a28521a65450983d0012149125fa8,-3.421875,-3.296875,0.125,-0.125
SV1_0234,c5d899df113f440f93b96213b6684e19,-8.5,-11.0625,2.5625,-2.5625
SV1_0235,eb50b164056441e2aeeda14fe1c147a1,-2.265625,4.5,6.765625,-6.765625
SV1_0236,9272d8b069824f6caf3cfe375ba9d9cb,-2.015625,-0.73828125,1.27734375,-1.27734375
SV1_0237,26a785a0efbf42f2aaac85c60d97034a,-3.3125,-0.7265625,2.5859375,-2.5859375
SV1_0238,3da15deef4a14f23a09af7af70f5a093,-3.484375,1.5,4.984375,-4.984375
SV1_0239,97f06ca0350c4794a781215841ed0d7d,0.30859375,-0.76953125,1.078125,-1.078125
SV1_0240,39dd396e679e40ee9c26fb2f54846932,-8.75,-0.2275390625,8.5224609375,-8.5224609375
SV1_0241,00256416b908403cb3e072cb05fd35aa,-6.1875,-5.15625,1.03125,-1.03125
SV1_0242,f3fcde01684f48999b3f52494a045b13,-6.46875,-10.1875,3.71875,-3.71875
SV1_0243,6ea75c3573004a3dacbb35ba30806fe6,-9.125,1.0625,10.1875,-10.1875
SV1_0244,bd250a31a7da421b99eeed6303f3ef3d,-2.8125,-2.421875,0.390625,-0.390625
SV1_0245,4a14108112ef4bf08824dbbde2a2b60e,-2.125,3.328125,5.453125,-5.453125
SV1_0246,1ebbfeb083904de5b9e9da0ed27826c7,-6.9375,-6.875,0.0625,-0.0625
SV1_0247,34d74080e57b4ac0babdcbf69a39796b,-3.453125,-1.921875,1.53125,-1.53125
SV1_0248,ce97c37b15fc412d99a5277600b532f9,-2.46875,-8.5,6.03125,-6.03125
SV1_0249,0c916c0770564acebe8bf9072d4146af,-7.53125,-9.0,1.46875,-1.46875
SV1_0250,b156efbae6c64bc0a1d23b23f8a84710,-2.8125,1.4453125,4.2578125,-4.2578125
SV1_0251,bc2f2fa6a3da45d99911820b9f2e8038,-6.9375,-3.359375,3.578125,-3.578125
SV1_0252,7ae60ed645d447f5bff4eda7a2ac097f,-6.75,-6.5,0.25,-0.25
SV1_0253,4bffe66a913044b0be7d529b40b63e78,-4.8125,-6.5,1.6875,-1.6875
SV1_0254,71ca736a85e9499bbbd1db0ae406d8c3,0.9140625,-0.97265625,1.88671875,-1.88671875
SV1_0255,9898d347a6724a46827e01e4fa95eb13,-3.6875,-5.6875,2.0,-2.0
SV1_0256,0e598145c16f4dcd8e956b546b725af2,-5.09375,0.294921875,5.388671875,-5.388671875
SV1_0257,944c5aa868b84a61a80d50e17649da9f,-7.6875,-6.21875,1.46875,-1.46875
SV1_0258,17ef76af20ee477184bcf39adea4c4b7,-6.125,-9.4375,3.3125,-3.3125
SV1_0259,32fd73c508944176be99df69bcd49975,-7.96875,-6.65625,1.3125,-1.3125
SV1_0260,a542f57c752543509aa3f29ee38b643f,-5.875,-2.84375,3.03125,-3.03125
SV1_0261,d92d835e33374cb491d2db8e98485b0b,-3.0625,-0.8125,2.25,-2.25
SV1_0262,45e94783fb9a4c95babe74a1aeac1d6d,-7.0,-2.65625,4.34375,-4.34375
SV1_0263,f1f62a2240864abeb14d14ecc62552de,-3.9375,-0.326171875,3.611328125,-3.611328125
SV1_0264,0b8e394f3413464f9132543a1ed79d49,-3.6875,-4.09375,0.40625,-0.40625
SV1_0265,bc6965e7bdfb4e2f8f7a9bd510e68719,2.78125,2.4375,0.34375,-0.34375
SV1_0266,ddc639b6f94e4622a942430192ad87d6,-5.625,-8.0,2.375,-2.375
SV1_0267,60c93a311fc84662953b08b871ee2c19,-6.78125,-1.8671875,4.9140625,-4.9140625
