annotation_id,comparison_id,sampling_stratum,diverging_id_label
SV1_0073,9a2e841c12eb46d39c4f893b28c4a021,Open QA,1
SV1_0074,499a906fca9e4415b18bb7f9c47deb41,Open QA,0
SV1_0075,1668661c8ebc4004be4057cf26c0b68b,Closed QA,0
SV1_0076,d1a41f56a3294267955eb74c464693ad,Chat,1
SV1_0077,67679e66380c427c83b0d3988e30658c,Chat,1
SV1_0078,fde91c42002c4c22b4de5f7070f81dba,Closed QA,1
SV1_0079,81555826caf2425f99f9f253ad77b7da,Coding,1
SV1_0080,abd53b72b04c4db7aa5747b5fe666a27,Chat,0
SV1_0081,32c09010a5f04693a550132d4afbb7cf,Open QA,1
SV1_0082,337abda610e744b98f4c3405aa41b4bd,Open QA,1
SV1_0083,226e009ea29c413a98d2cc9590ffc96c,Coding,0
SV1_0084,2eeaf8b3f3e5418aab0dbf1175770452,Chat,1
SV1_0085,f767bb9d9cfd4383a72f8d3166ce2576,Chat,0
SV1_0086,112e38c0b8db49d9b18c108acbd54e3a,Open QA,0
SV1_0087,9fe3cc4217a342e1b4f1cb4f577e18d6,Chat,1
SV1_0088,f9f711ef29da416a810d4e43b8353f2e,Brainstorm,1
SV1_0089,e22fcefb5a7f41b68743f0ccd19d5dcb,Generation,1
SV1_0090,c5889b7afc734116b3184451604835f4,Generation,1
SV1_0091,35e3766346ac44c0a5a58c1da7a8776b,Chat,1
SV1_0092,780d1edcab094010a5563f49735d7492,Brainstorm,0
SV1_0093,4496f38ffec24107be01db917a4a3f38,Generation,0
SV1_0094,9afbc5728faa416789ed0cf48bc2645c,Chat,1
SV1_0095,3b195af6790148d09aff2cd9538c4362,Coding,1
SV1_0096,33f286ea0a8942248ede206fdfb5e694,Brainstorm,1
SV1_0097,ee4dced9278c41048b7acd0239a9d46c,Closed QA,1
SV1_0098,9caa3398661940c88097223feac90c4d,Closed QA,0
SV1_0099,5f17f5e3cd3349e7a597c66bad8fc6a4,Chat,1
SV1_0100,80dc7a8e80cc4583aa10fe2fa1fdaf1f,Open QA,0
SV1_0101,e1ce7ed3cead4a599ce15d1d52f8b523,Chat,1
SV1_0102,fd9c46e104914fb7afe8c2f813370b4f,Generation,1
SV1_0103,dea8984366a9413abbeadc524ec62d01,Open QA,1
SV1_0104,35d3f19fb4b240e99560fdae2b324528,Open QA,0
SV1_0105,74674c641a0d405bacfbbe82b209e5a4,Coding,1
SV1_0106,b868bf054a9646249eb32d8dae498253,Open QA,1
SV1_0107,912a3e56a0224db79d1cc88ce167339d,Open QA,1
SV1_0108,ad34d7a013d54cb68d119290eb45c795,Generation,0
SV1_0109,a605051afd5c4bbabd29ebd6fd562c95,Brainstorm,0
SV1_0110,6c029d3ae0e44955a18cbdb52e4c970c,Brainstorm,0
SV1_0111,9099fa3a34414fa991c030e0ee2b0520,Generation,0
SV1_0112,3d9b939efcbd4097aaf04b36e07f4846,Closed QA,0
SV1_0113,76df54f37e104f0aa8b545f995df300e,Brainstorm,1
SV1_0114,978e48431313440db521b06303d4b652,Closed QA,0
SV1_0115,5230dfbd555342fea889803e5913f9d3,Brainstorm,1
SV1_0116,e46941ca0f8b405ea361898220f15b0d,Open QA,0
SV1_0117,07e7171597f2475cbe6b22eaa6ae8516,Open QA,0
SV1_0118,8f7a64a53e794193854f6ac0ce92164c,Chat,0
SV1_0119,3cc2b637e9e24e03bdd8a5c4b4bc6e76,Brainstorm,1
SV1_0120,e312e7dda6b84e239ef95050d4838cd3,Chat,0
SV1_0121,b80c5d84a68b46ca833e676bed6c8778,Coding,1
SV1_0122,545ae5b433f542d997f7f7ee08e5716b,Generation,1
SV1_0123,20f9bfc99eb04058904d0a5069258881,Open QA,1
SV1_0124,5f9276310bc84cd68c8e96a08111f5c9,Brainstorm,0
SV1_0125,f2b798c1ab17452da60e607df3970516,Open QA,1
SV1_0126,b80bd35c53da4fe0ba4309869f51e3d7,Coding,1
SV1_0127,b971514ce7474fff920cd26a8890e552,Brainstorm,0
SV1_0128,70732522fe7345898d277c275493b0fe,Brainstorm,0
SV1_0129,d6e23a7d3f444f5cbad0788e990482c6,Coding,1
SV1_0130,39757c39c7dc497387952896a8fa573e,Chat,1
SV1_0131,47b6a019f4284c1d9d3da278eb0be916,Brainstorm,1
SV1_0132,d6fbd9cc5d8644358ac9e028f3b56a00,Generation,0
SV1_0133,14d099d02dfa475f8777d59f49824843,Chat,0
SV1_0134,59682759813e4e05b045fc9e6cc97611,Coding,1
SV1_0135,a868695e9302498083cd5f033908ea77,Generation,0
SV1_0136,3fcb44d444d04c5386fb85ecbcee6126,Coding,0
SV1_0137,15fe2162da5441ad808841bbc8544bc9,Chat,1
SV1_0138,2481b814354245518f3605d7ae8617f2,Chat,0
SV1_0139,b8e557705e464f1ca16920d1b78cbafc,Coding,0
SV1_0140,a75072315a0f4b4796adb52877015833,Brainstorm,1
SV1_0141,2eb303f27de24638a93db87fb5ad88f6,Open QA,1
SV1_0142,4c1da41ad0264b25857ec7146b9839a2,Generation,0
SV1_0143,b41aa1ba209a484eb8b1a2493583b998,Brainstorm,1
SV1_0144,bb5d5991eb9048c78630e21a7d6a1187,Coding,1
SV1_0145,5b205aea02234af1a1a547091fc0c034,Coding,0
SV1_0146,a62931cda59e4566b9b2c9699e6c3f01,Chat,0
SV1_0147,93d72313cae7423a8ab5b09bfe22cb51,Open QA,0
SV1_0148,6d8537bc2c99459ab628b49e87de1f9f,Generation,1
SV1_0149,7b928287cb4f4ad5bd2c23ad9b84a428,Coding,1
SV1_0150,edea2bb509d34c3aa2248c78f364f045,Closed QA,1
SV1_0151,feda630b0e3e45e0b3481de5f8d737f5,Open QA,1
SV1_0152,82bd326fe08741d9bb546fa363c6eb1f,Brainstorm,0
SV1_0153,ba683e1e98484928a9149284277f73b1,Chat,0
SV1_0154,0ec4723c8d304e72a0277585dc22566e,Coding,1
SV1_0155,5b57169fe45e48f485a419c82a967fef,Open QA,1
SV1_0156,2e0bd9c89c4c456db41ad20983e9763b,Coding,0
SV1_0157,80390816ec3744959260007521d6a3e1,Generation,1
SV1_0158,a3f2f9b3219e4438a06065ad2cb50195,Generation,1
SV1_0159,fc760492020c40e78f1fc752e6f77608,Brainstorm,1
SV1_0160,bc8dbed119274beeb491ce908779d175,Closed QA,0
SV1_0161,7e91072cf6c44bd393d05253d45defdc,Closed QA,1
SV1_0162,8868b64498224d58bf49a81cd42aa238,Coding,0
SV1_0163,e21eb19b236843c1bd0a5f40113ebdde,Chat,0
SV1_0164,30ce4545c71f4f4d93744dbb4d62b8df,Coding,1
SV1_0165,2b86c446f0a4490792b63cd1f987db66,Brainstorm,0
SV1_0166,d1c76cf135d34e5b881fea11d36b06cd,Generation,1
SV1_0167,170140192fa6407ab0c7ae1b9e07cdae,Closed QA,1
SV1_0168,f4682c0a3d1947c790f1ad44f94e9fab,Coding,1
SV1_0169,dac7bffad55a4290830ca1a07946293c,Generation,0
SV1_0170,da18fb82c0704ce69a7fa241743e2acc,Chat,1
SV1_0171,c4bd52fca133439fbdf8e42e993cf530,Generation,1
SV1_0172,e8dcd9d65a524b68b90dfa3b28a5eb31,Open QA,0
SV1_0173,22c72d7821c240a489504364e3eb6356,Generation,0
SV1_0174,4eed3d0cd2464891bb29c10ad28afece,Generation,1
SV1_0175,af665b97e9c54f60ab39ec3772dddf02,Generation,0
SV1_0176,acd8e09080f140d896c640f3cca40335,Brainstorm,0
SV1_0177,93123514b3e74f4ea5c8faece5d0246c,Generation,1
SV1_0178,1431decf5c394844b8dc99bbc44d383c,Chat,1
SV1_0179,16f6d4ef13f5416cb4fbe33096a63007,Open QA,0
SV1_0180,25c8f48ba395444290f253e0252fea52,Open QA,1
SV1_0181,1c9dff1b21a2440abc002106a767e88e,Open QA,1
SV1_0182,c9cb2d9d31974d12b34497d8567d1fc1,Generation,0
SV1_0183,b339c522f8ea4690b3dd78607e47accc,Generation,0
SV1_0184,0b26234e870b453e862383e4c9e5a999,Coding,1
SV1_0185,7f9eba73ff9e40dc919294ab9ebdf63c,Open QA,0
SV1_0186,56616c559a4e40bf9e66855f9ebb3687,Coding,0
SV1_0187,83b8d70240f245b89dddfb066cb88a94,Brainstorm,1
SV1_0188,3bec3ace04884c1ab166ed170be9efe1,Coding,0
SV1_0189,8372b28134f249d2a353b5f70e561474,Brainstorm,1
SV1_0190,e9c8b90d205b4e0d9595c4c19e7654a1,Coding,0
SV1_0191,91d63a3e3b994910b833bec7e934279c,Generation,0
SV1_0192,1bbcb748bb554fa3ae26651915f87768,Generation,0
SV1_0193,84f8f12470214bb4b8f70984dbcdbc8e,Closed QA,1
SV1_0194,17ca32180d9242fdbac933676c1cd1ee,Generation,1
SV1_0195,4a1908c374654182bef662821568d0a3,Brainstorm,0
SV1_0196,99e7526e45da4863ac17b6560a04a57e,Brainstorm,0
SV1_0197,7c1934f5dfbc4c87898922c4050738ef,Brainstorm,0
SV1_0198,70bcf2b982664280bb03896c515edd16,Brainstorm,0
SV1_0199,c82e27a310284c78834b033d84e1f69e,Brainstorm,0
SV1_0200,89279c2ef21c4400afa7c892097adb38,Brainstorm,1
SV1_0201,6e5948cea7b94e77b80f328488f4c7d2,Coding,1
SV1_0202,a4cabb49401d48739645f96111d017c2,Coding,0
SV1_0203,e58045ae470b44c6b9ab48f675ae546d,Chat,0
SV1_0204,4b3841dfb2944b84a5b798895f7f516b,Coding,0
SV1_0205,560ec18d03ec4029bb6fc0d4b78aa330,Chat,0
SV1_0206,722a65d7abda468089779b54914b304b,Generation,0
SV1_0207,ecee61b37c574094b5aa7905c22fe8d5,Open QA,1
SV1_0208,6852f1f8c61d4145925f39420e534591,Open QA,1
SV1_0209,758933b91f89404bbdf046232bba1b83,Brainstorm,0
SV1_0210,0afdd692104c4f8bbde60620eaaa2da8,Coding,0
SV1_0211,8d17149e799a455388a800e3758c1fbe,Chat,1
SV1_0212,0e3b3efb6a80429fa39a3d9758d17187,Generation,1
SV1_0213,a4b7ba13540f41c7811a9f226c9b05dc,Coding,1
SV1_0214,85b785157e9e41e68f576e1638f42dad,Brainstorm,0
SV1_0215,c055d72801ca45a4a44f9cdb87a4b949,Brainstorm,1
SV1_0216,c321bb829ab246ad9f1c0b97c9b977f3,Generation,0
SV1_0217,f74317f8bf6b4020b2a34e0f5e8991c5,Closed QA,1
SV1_0218,1f5e2f423e7e427ab42aead755f6fe33,Chat,0
SV1_0219,4d3596639e694dba80c51fc2cbf0556c,Closed QA,0
SV1_0220,58ddccc9bb66440681f63daf01920812,Chat,0
SV1_0221,da94456d2069457d942e0f3ecab29710,Closed QA,1
SV1_0222,f53bc9cbc82b442ba393efc770994641,Coding,1
SV1_0223,91d5bfdd00eb45a9ab7c5618b12a8b02,Chat,1
SV1_0224,13b912b193b24c9992f97b305ff2ccc1,Generation,0
SV1_0225,af92a2aef78b46a39644b00b46c462a7,Coding,1
SV1_0226,4010d6a10e1e43e5b5d80a71c10b7f66,Coding,0
SV1_0227,aed8a3a249c647859c6a1dbec4f5a6ff,Coding,0
SV1_0228,8ba880f9bd7848d7babb37c9bef1883e,Closed QA,0
SV1_0229,f943ac89a45649e58ff0c0e0d7f47d84,Open QA,1
SV1_0230,f3d18917fa27412a9cd1400cc6701dde,Coding,0
SV1_0231,04d89ec925e145bd832ba6be3a84c96e,Generation,0
SV1_0232,f99d40429f424da0a388474b08709011,Chat,1
SV1_0233,d31a28521a65450983d0012149125fa8,Chat,1
SV1_0234,c5d899df113f440f93b96213b6684e19,Open QA,1
SV1_0235,eb50b164056441e2aeeda14fe1c147a1,Generation,0
SV1_0236,9272d8b069824f6caf3cfe375ba9d9cb,Brainstorm,0
SV1_0237,26a785a0efbf42f2aaac85c60d97034a,Chat,1
SV1_0238,3da15deef4a14f23a09af7af70f5a093,Closed QA,1
SV1_0239,97f06ca0350c4794a781215841ed0d7d,Closed QA,1
SV1_0240,39dd396e679e40ee9c26fb2f54846932,Brainstorm,0
SV1_0241,00256416b908403cb3e072cb05fd35aa,Closed QA,1
SV1_0242,f3fcde01684f48999b3f52494a045b13,Generation,0
SV1_0243,6ea75c3573004a3dacbb35ba30806fe6,Open QA,0
SV1_0244,bd250a31a7da421b99eeed6303f3ef3d,Brainstorm,1
SV1_0245,4a14108112ef4bf08824dbbde2a2b60e,Open QA,1
SV1_0246,1ebbfeb083904de5b9e9da0ed27826c7,Generation,1
SV1_0247,34d74080e57b4ac0babdcbf69a39796b,Closed QA,0
SV1_0248,ce97c37b15fc412d99a5277600b532f9,Generation,1
SV1_0249,0c916c0770564acebe8bf9072d4146af,Chat,1
SV1_0250,b156efbae6c64bc0a1d23b23f8a84710,Brainstorm,1
SV1_0251,bc2f2fa6a3da45d99911820b9f2e8038,Generation,0
SV1_0252,7ae60ed645d447f5bff4eda7a2ac097f,Chat,1
SV1_0253,4bffe66a913044b0be7d529b40b63e78,Coding,1
SV1_0254,71ca736a85e9499bbbd1db0ae406d8c3,Brainstorm,1
SV1_0255,9898d347a6724a46827e01e4fa95eb13,Open QA,0
SV1_0256,0e598145c16f4dcd8e956b546b725af2,Closed QA,1
SV1_0257,944c5aa868b84a61a80d50e17649da9f,Open QA,0
SV1_0258,17ef76af20ee477184bcf39adea4c4b7,Generation,1
SV1_0259,32fd73c508944176be99df69bcd49975,Chat,1
SV1_0260,a542f57c752543509aa3f29ee38b643f,Coding,0
SV1_0261,d92d835e33374cb491d2db8e98485b0b,Coding,1
SV1_0262,45e94783fb9a4c95babe74a1aeac1d6d,Open QA,1
SV1_0263,f1f62a2240864abeb14d14ecc62552de,Open QA,1
SV1_0264,0b8e394f3413464f9132543a1ed79d49,Open QA,1
SV1_0265,bc6965e7bdfb4e2f8f7a9bd510e68719,Coding,1
SV1_0266,ddc639b6f94e4622a942430192ad87d6,Generation,0
SV1_0267,60c93a311fc84662953b08b871ee2c19,Brainstorm,1
SV1_0268,9feb5eb133b44c1d9836431221910b11,Chat,0
SV1_0269,b9a6fca3c5514e0daeba23a251b02e90,Chat,1
SV1_0270,8bfa0f3582904913a61bc863e08ef0a0,Generation,1
SV1_0271,4810fbe09f15472a8e44208c4fca8413,Open QA,0
SV1_0272,9281f20a405041bd963f8c4f0d4fb0ba,Chat,1
SV1_0273,01195a42503f492ebbdcd4927a2b3b11,Brainstorm,1
SV1_0274,7dbb1636dc0644bd97f5795c13f73b5b,Brainstorm,1
SV1_0275,697eedee905d4ad9af38a26a3a8613d5,Coding,1
SV1_0276,2b443d3668ec40409bd478bf4a1df5c2,Open QA,0
SV1_0277,69810da7113c468aa8c2a8d222ccb1d9,Brainstorm,1
SV1_0278,51b63d484b53460eb65d54b6f6f4345c,Coding,0
SV1_0279,1386e2cfab124cf6ade3e2861d6b3ea6,Chat,1
SV1_0280,9fa29b474810495dad6620ad5cdef289,Brainstorm,0
SV1_0281,23763f57852c42ceb3377b9ee60587ef,Open QA,1
SV1_0282,b79007527bfd4c74a441e11e3ee1db8e,Chat,0
SV1_0283,8830339681a84afc9cab90fd3c9e7384,Brainstorm,0
SV1_0284,7dc0853b417345c2ba85d5e4233fe2e4,Generation,1
SV1_0285,43d107a6656b49f9859f6cb15d4f7d6d,Chat,1
SV1_0286,cebe089574f74cc88994226fa90b723c,Brainstorm,0
SV1_0287,a498b843a35b4a29b53f629d1bcc4916,Coding,0
SV1_0288,f47bdf67a09e4e74880e015e2261b15c,Coding,1
SV1_0289,0c4221c710574c078d7ca7ff2113c8b4,Generation,1
SV1_0290,44d18524cf0e4567882d7fc1be3074f8,Coding,0
SV1_0291,e4b06dd4483643999c914dd989b48984,Open QA,0
SV1_0292,da0a77f9bdc24b9799dfe4e26b246d1e,Open QA,0
SV1_0293,1e8ffc9221914a12b55815f32d8b43dc,Open QA,1
SV1_0294,ddddf45c58e14d258502fc957b30ac8f,Chat,0
SV1_0295,2c7f41e3cd334851aa2efa997d381def,Coding,0
SV1_0296,cd0df349d57c448ca011c0751c1f00f3,Brainstorm,0
SV1_0297,b9dfbde3dd3043f3b6d1bd2e40442046,Open QA,1
SV1_0298,2f3da5d6b66945ed97456921d5f49072,Brainstorm,1
SV1_0299,daf4a4fe98c34e50b1142c5d83988598,Chat,1
SV1_0300,4609c3ea5b69414485cb4eb6edd1c27c,Chat,0
SV1_0301,4bdbc5f1f16f4d6d8e5cc1f7cca3cd74,Chat,0
SV1_0302,e2e7053d4af2490a8c90981419dfecf1,Coding,1
SV1_0303,cbacd83e8bc94047a3a25f25c126c5ce,Closed QA,1
SV1_0304,7a166f51278149fb87bedbd8e1161b3b,Generation,0
SV1_0305,1129d2d7051743fbb2341873b9e9a2ab,Open QA,0
SV1_0306,6412156953004242a718f5ccf3ac525d,Generation,0
SV1_0307,d1ff71672be64e1b8d84100ba978de59,Generation,0
SV1_0308,d1f2151b85cb4c2fa11c3ecff804e703,Open QA,1
SV1_0309,0e35e087068141818ae470b7e2837160,Open QA,0
SV1_0310,099d979dbca847238e07469bdcc57f10,Brainstorm,1
SV1_0311,eb687d9487c246af9e51f841d0a168e2,Open QA,1
SV1_0312,f3e42a7bf17946bf8be0bb4e117359ed,Coding,1
SV1_0313,b72423d687d5492ca64e2b2dc97e4828,Open QA,0
SV1_0314,7fb592b3ee4e47099baed031ae94da63,Closed QA,1
SV1_0315,60d571c6ecfa4001b597766a0dd00c5c,Brainstorm,1
SV1_0316,7a5e180c5f1d47a289ffc756c0df69a8,Coding,0
SV1_0317,16ce0cd53b7e413eb332889f5768392c,Chat,0
SV1_0318,0aa984c2c76d4cb89be868d2842be9a4,Brainstorm,0
SV1_0319,265db70a631e453d81414bdda149f65b,Chat,1
SV1_0320,25c47012f3db47c983b3b94689bc22f5,Coding,0
SV1_0321,6f26abd7c48e408e9c71cfb5d0f5e74c,Coding,0
SV1_0322,a639e3727e5a47e2bbff7bcab06ba671,Brainstorm,1
SV1_0323,ec752e0fa83d4350be19a8ad47162732,Closed QA,1
SV1_0324,24a91d90365e4763a3d14b3e5588af99,Chat,1
SV1_0325,146af64c413e4654a604ec90f9f0797b,Closed QA,0
SV1_0326,06617f95eba14fa89f19f85b4d330569,Closed QA,1
SV1_0327,9df99f35205b4a1fa03fd098648f4293,Brainstorm,1
SV1_0328,d16ec9386a9e4c67890a6d2266b67f4e,Chat,0
SV1_0329,a31a059857c3456d99007114010bb0c9,Coding,0
SV1_0330,c047e2fb6b284b47b813d969b7a468dd,Coding,1
SV1_0331,e88061ff2b9b4d60b9ef4038be3e4b9d,Open QA,0
SV1_0332,060b61297f23424ebaf0c058bab2beb8,Coding,0
SV1_0333,4524fe89225f46918ec98acd7ac1af75,Coding,0
SV1_0334,478141fd729f4472ac4179829787f16d,Brainstorm,1
SV1_0335,ed632454376146d886bd49c70b83e34e,Chat,0
SV1_0336,f34115e3adcf497f8bb740791c1e9a97,Generation,1
SV1_0337,e0969d73f98c4d418a197613b2a1b80d,Open QA,0
SV1_0338,3db87d1532d84ff9b9c048829b40bb90,Open QA,1
SV1_0339,a2263c379edb47c7957ec479b8c8b76e,Open QA,0
SV1_0340,5794bcb3dd3342659919430eeb5fff11,Generation,1
SV1_0341,b7f4a7b36d7147d59c296141512e37f7,Coding,0
SV1_0342,7c433c8bb83d4c8fb15a7b4c5d2fbe3a,Open QA,1
SV1_0343,058275ab5ef443859a3fdfdb83dec228,Chat,0
SV1_0344,05bd0f25241a48ffa230cb61b40a5f4f,Generation,1
SV1_0345,3914933f1def41b38090bfe39c4a6cbe,Brainstorm,0
SV1_0346,eeeed1db76bb4ee5b3766770c6724e12,Open QA,0
SV1_0347,e03689be45eb4db8bb3bcda978818493,Brainstorm,0
SV1_0348,fe897efbf7df4142ba8080184792f870,Chat,0
SV1_0349,dc01d070ea4f422dbe9b8ce08a7373c2,Chat,1
SV1_0350,8bcd18c2d155481c838f643d91288a43,Open QA,1
SV1_0351,e7db582e818b41c49179454225b2bc67,Brainstorm,1
SV1_0352,72cdbc01a7144772909f02aa728934eb,Generation,1
SV1_0353,bc507e410d924a1981b70e52a9191a97,Chat,0
SV1_0354,f5fd146d03cb408dbb279e63a1284679,Coding,1
SV1_0355,b1382f469e564c669855d52b3ec8588a,Brainstorm,0
SV1_0356,22b19ba2c7a7417cb426f2723ad0e89a,Closed QA,0
SV1_0357,65ed31dfc4144f8883e785e9390073a7,Generation,0
SV1_0358,d7aa0f8359f6464dbfce50b36151bd93,Brainstorm,1
SV1_0359,698c1ae685b2441b9dbe70aa48644d90,Closed QA,0
SV1_0360,fbbbcab0f78c46fcb227e98208e32281,Brainstorm,1
SV1_0361,942114d7ddb44a76b7d2d6f682140def,Chat,1
SV1_0362,9fd960ed3998418c88eaac063d288b0e,Open QA,0
SV1_0363,9c60e8a0356f40bda23275c03072a613,Open QA,0
SV1_0364,59115702b36c4ae292d0e56f905ccbea,Coding,1
SV1_0365,184730ad14db491cae9ce15fb28d0470,Coding,0
SV1_0366,2275c9a9bf374c058293eafa642043f1,Closed QA,0
SV1_0367,9194821ee11b40d486379f04d9ee7dc9,Coding,0
SV1_0368,bc73298b04e14c41b5ae9559e94e864b,Coding,1
SV1_0369,e66c640fd045471aa6668143923825f9,Open QA,0
SV1_0370,5329d3263eb849c1b904ce8562fcf4b6,Open QA,0
SV1_0371,fb924354f34d4b13a065f5cf25c978b5,Brainstorm,0
SV1_0372,6bc7d80b0f534361a3202c3a236f470b,Chat,1
SV1_0373,f0708f88ebc947e7b0cacb3f2b8fa602,Chat,1
SV1_0374,ff5b87b0f56c475aa4dcc5b63fe6652b,Open QA,1
SV1_0375,1ecb3986755843909bff74932462a03e,Brainstorm,1
SV1_0376,2c6e8855b6924fac9398b62a004a5f16,Coding,1
SV1_0377,1d6cebf01847463baf234e54c97cffb5,Chat,0
SV1_0378,d8326c24198b4ab0af5acb0790f996bd,Coding,0
SV1_0379,7c3a8cc5c5194900aff7fb11c10ab1d7,Brainstorm,1
SV1_0380,96cdb8997b634615b14a52c8ad89b28e,Brainstorm,0
SV1_0381,2d1ef4c169c447bb9f8241fd378eba4a,Chat,0
SV1_0382,f2ea9ead6bfc4917abdb81a781852167,Brainstorm,1
SV1_0383,a17860de534744539ee2591c8c4ef972,Generation,0
SV1_0384,4b6d69da805a4e22b4e16631e0478b52,Generation,0
SV1_0385,d93bdc8cb3194743b5571f13cb67a719,Coding,1
SV1_0386,8476e7bb2d354e0581c42d8c64d27fc2,Brainstorm,0
SV1_0387,3f3c7d6985434fc697c73535a2606bac,Generation,1
SV1_0388,69671d8276cb4c7b80f7afaf0c46baf3,Closed QA,1
SV1_0389,a9ceb0fb05be43e4bbaa800f8834f6f2,Generation,1
